,timestamp,plant_id,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass,convex_hull_vertices,object_in_frame,ellipse_center,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity
0,2024-08-06 11:15:01,8,True,1405.0,182741.5,0.00768845609782124,85556.67360305786,528,480,548.6392257212384,"(1857.2868327402134, 1321.9039145907473)",17,True,"(1846.237060546875, 1326.703857421875)",558.7401123046875,416.467041015625,119.42744445800781,0.666653159611946
1,2024-08-06 11:15:01,9,True,1799.0,239785.5,0.007502538727320877,114459.7872556448,655,600,627.034289333526,"(1877.5869927737633, 1823.0155642023346)",23,True,"(1893.471923828125, 1818.2435302734375)",627.8008422851562,488.92266845703125,59.33298110961914,0.6272893790220007
2,2024-08-06 11:15:01,3,True,2134.0,286871.5,0.007438870713891063,145846.55886220932,704,656,671.607772438646,"(950.906747891284, 1304.1930646672915)",26,True,"(954.149658203125, 1313.257568359375)",668.0794067382812,544.9239501953125,125.31090545654297,0.5785351435309856
3,2024-08-06 11:15:01,13,True,1859.0,147937.0,0.012566159919425161,101149.1772415638,512,456,527.7849941027123,"(2791.3700914470146, 1302.2899408284025)",24,True,"(2803.54638671875, 1308.9197998046875)",526.0682983398438,352.8005065917969,58.20479202270508,0.7417863095521282
4,2024-08-06 11:15:01,1,False,2122.0,277285.5,0.007652762225215527,162764.79718458652,672,568,640.4154901312116,"(918.9608859566447, 337.9646559849199)",24,False,"(915.5275268554688, 336.8497314453125)",611.6200561523438,527.1473999023438,85.80484008789062,0.5071003155161754
5,2024-08-06 11:15:01,10,False,2183.0,267474.5,0.008161525678148759,146097.11417210102,680,600,641.2487816752559,"(1865.2414109024278, 2356.7526339899223)",20,False,"(1865.5833740234375, 2344.749267578125)",634.802001953125,561.4351196289062,73.39456176757812,0.4666812819175608
6,2024-08-06 11:15:01,4,True,2581.0,305398.5,0.008451253034969065,222291.13712596893,808,584,808.6463998559568,"(983.32971716389, 1924.644323905463)",22,True,"(1013.863037109375, 1910.18701171875)",767.5677490234375,443.1878967285156,69.4699935913086,0.816466685165747
7,2024-08-06 11:15:01,16,True,1818.0,192284.5,0.009454740241673146,94191.54080116749,488,576,571.3396537962335,"(3658.4521452145214, 384.95929592959294)",18,True,"(3672.466552734375, 405.428955078125)",537.943359375,421.5708312988281,13.669631004333496,0.6211755952286212
8,2024-08-06 11:15:01,12,True,1373.0,160301.5,0.008565110120616464,71204.75265169144,480,496,493.0,"(2732.0531682447195, 867.2541879096868)",28,True,"(2719.946044921875, 869.5704345703125)",481.1054382324219,423.6416931152344,29.72519874572754,0.4739366614366863
9,2024-08-06 11:15:01,18,True,2090.0,204740.0,0.010208068770147504,146486.38437700272,616,464,594.407267788677,"(3692.8622009569376, 1411.5808612440192)",23,True,"(3654.6298828125, 1411.685791015625)",613.178955078125,421.3575134277344,77.94152069091797,0.7264976881252221
